Fold,epoch,trainLoss,valLoss,val_F1,val_Acc
1,1,0.2037,0.0981,0.6352,0.8197
1,2,0.0852,0.147,0.6594,0.8634
1,3,0.0737,0.2582,0.527,0.7978
1,4,0.1114,0.1836,0.5851,0.7486
1,5,0.0372,0.1458,0.7423,0.8634
1,6,0.01,0.1252,0.6858,0.8415
1,7,0.0135,0.1108,0.6853,0.8361
1,8,0.019,0.1276,0.7296,0.8579
1,9,0.0211,0.1156,0.728,0.8251
1,10,0.0029,0.0988,0.7222,0.8525
1,11,0.0018,0.093,0.7121,0.8361
1,12,0.0116,0.1,0.7202,0.8251
1,13,0.0029,0.1036,0.7153,0.8197
1,14,0.0031,0.0985,0.7295,0.8525
1,15,0.004,0.0934,0.7396,0.8579
1,16,0.0024,0.0976,0.7238,0.8361
1,17,0.0037,0.094,0.7176,0.8361
1,18,0.0026,0.0956,0.7165,0.8251
1,19,0.0029,0.1027,0.7251,0.8306
1,20,0.0188,0.0987,0.7371,0.8579
2,1,0.2272,0.0895,0.7334,0.8579
2,2,0.1119,0.1136,0.6725,0.847
2,3,0.0788,0.1777,0.6045,0.7869
2,4,0.086,0.1474,0.6452,0.8033
2,5,0.0286,0.1106,0.7492,0.8743
2,6,0.0125,0.0651,0.7713,0.8798
2,7,0.0071,0.0667,0.7656,0.8743
2,8,0.0048,0.1055,0.8006,0.8798
2,9,0.0159,0.1085,0.7099,0.8251
2,10,0.0137,0.0703,0.7558,0.8689
2,11,0.0044,0.0819,0.7789,0.8743
2,12,0.0032,0.0768,0.7967,0.8852
2,13,0.013,0.0646,0.7515,0.8634
2,14,0.0054,0.073,0.7305,0.8415
2,15,0.0052,0.0659,0.7733,0.8743
2,16,0.0025,0.0702,0.753,0.8579
2,17,0.006,0.0697,0.774,0.8798
2,18,0.0101,0.0623,0.752,0.8579
2,19,0.0039,0.077,0.7544,0.8525
2,20,0.0034,0.0678,0.74,0.8525
3,1,0.2214,0.1211,0.6158,0.8525
3,2,0.1021,0.1158,0.6619,0.847
3,3,0.0918,0.3561,0.5359,0.7322
3,4,0.1169,0.2819,0.5633,0.7541
3,5,0.0415,0.1688,0.6542,0.7923
3,6,0.0104,0.1118,0.6083,0.8033
3,7,0.0246,0.1756,0.6681,0.7869
3,8,0.0082,0.1071,0.6356,0.8087
3,9,0.0044,0.1143,0.5977,0.7869
3,10,0.0067,0.1309,0.6516,0.8142
3,11,0.0067,0.1151,0.6006,0.7978
3,12,0.0021,0.1067,0.6111,0.7978
3,13,0.0023,0.1055,0.652,0.8142
3,14,0.0016,0.1037,0.6555,0.8087
3,15,0.0023,0.1011,0.6261,0.8087
3,16,0.0015,0.0993,0.6293,0.8033
3,17,0.0024,0.0966,0.6348,0.8087
3,18,0.0018,0.0942,0.6612,0.8142
3,19,0.0086,0.1196,0.628,0.8142
3,20,0.0031,0.1068,0.6363,0.8087
4,1,0.2077,0.1382,0.6391,0.8087
4,2,0.1,0.1558,0.626,0.8251
4,3,0.0673,0.2297,0.5038,0.7322
4,4,0.0664,0.1045,0.684,0.8525
4,5,0.0272,0.1716,0.645,0.8197
4,6,0.0178,0.1355,0.7205,0.8579
4,7,0.0076,0.1676,0.6855,0.8306
4,8,0.0078,0.1283,0.7488,0.8525
4,9,0.029,0.0891,0.6693,0.8197
4,10,0.0144,0.11,0.6536,0.8087
4,11,0.0045,0.107,0.6931,0.8415
4,12,0.0039,0.1194,0.6987,0.8525
4,13,0.0172,0.1119,0.6815,0.8361
4,14,0.0043,0.1217,0.6875,0.8361
4,15,0.0045,0.1235,0.692,0.8361
4,16,0.0027,0.1263,0.6955,0.8361
4,17,0.0019,0.119,0.6981,0.8415
4,18,0.0045,0.108,0.6885,0.847
4,19,0.0028,0.1144,0.695,0.847
4,20,0.0012,0.1164,0.6984,0.847
5,1,0.2145,0.1547,0.5973,0.8142
5,2,0.0807,0.1745,0.6606,0.8689
5,3,0.0826,0.24,0.6203,0.8579
5,4,0.0458,0.1803,0.6803,0.847
5,5,0.031,0.2754,0.5804,0.6721
5,6,0.0359,0.2214,0.7121,0.8361
5,7,0.0249,0.1374,0.6908,0.8251
5,8,0.0123,0.1753,0.7007,0.847
5,9,0.0062,0.1407,0.6927,0.8579
5,10,0.0035,0.1756,0.6966,0.8525
5,11,0.0054,0.1835,0.6978,0.8197
5,12,0.0018,0.1709,0.7696,0.8798
5,13,0.0029,0.1741,0.747,0.8743
5,14,0.0045,0.2002,0.7611,0.8852
5,15,0.0027,0.1892,0.7282,0.847
5,16,0.0016,0.1798,0.7191,0.8415
5,17,0.0032,0.1768,0.776,0.8852
5,18,0.0018,0.171,0.776,0.8852
5,19,0.0015,0.1782,0.741,0.8689
5,20,0.0022,0.1964,0.7509,0.8743
6,1,0.1889,0.1251,0.6272,0.8197
6,2,0.09,0.2717,0.5782,0.7923
6,3,0.1112,0.2404,0.5305,0.7923
6,4,0.0606,0.2797,0.6236,0.7432
6,5,0.0459,0.0953,0.689,0.8142
6,6,0.0158,0.1589,0.7145,0.8306
6,7,0.0085,0.1231,0.7461,0.8525
6,8,0.0093,0.1512,0.7415,0.8361
6,9,0.0125,0.1251,0.7352,0.847
6,10,0.0049,0.1556,0.7511,0.847
6,11,0.0153,0.1436,0.7522,0.8306
6,12,0.0038,0.14,0.7378,0.8415
6,13,0.0054,0.1534,0.751,0.8525
6,14,0.0071,0.1417,0.7959,0.8798
6,15,0.0056,0.1679,0.7438,0.8415
6,16,0.0041,0.161,0.7498,0.8361
6,17,0.0044,0.1408,0.7452,0.8306
6,18,0.0028,0.1414,0.78,0.8634
6,19,0.0017,0.1483,0.7286,0.8525
6,20,0.012,0.1235,0.78,0.8634
7,1,0.2023,0.1318,0.5257,0.7978
7,2,0.1083,0.3044,0.6677,0.8087
7,3,0.0711,0.1678,0.6491,0.7923
7,4,0.0833,0.1099,0.6221,0.8142
7,5,0.0252,0.1969,0.6465,0.7596
7,6,0.0155,0.1543,0.6957,0.8306
7,7,0.0067,0.1192,0.7164,0.847
7,8,0.0106,0.12,0.7376,0.8634
7,9,0.0121,0.1349,0.7126,0.8361
7,10,0.0089,0.1096,0.7255,0.8525
7,11,0.0035,0.1058,0.7244,0.8579
7,12,0.0018,0.1135,0.7301,0.8525
7,13,0.002,0.1109,0.7465,0.8634
7,14,0.0036,0.1105,0.7359,0.8579
7,15,0.0032,0.1207,0.7047,0.847
7,16,0.0066,0.1164,0.7235,0.8415
7,17,0.0018,0.1071,0.7201,0.8525
7,18,0.0034,0.1204,0.7396,0.8634
7,19,0.0021,0.1147,0.7359,0.8579
7,20,0.0014,0.1095,0.7143,0.847
8,1,0.2073,0.1248,0.5568,0.7869
8,2,0.1001,0.1147,0.6396,0.7978
8,3,0.1128,0.3195,0.5925,0.7541
8,4,0.1397,0.1254,0.6372,0.7869
8,5,0.0808,0.143,0.6234,0.7432
8,6,0.0267,0.0603,0.708,0.8415
8,7,0.0125,0.0631,0.7075,0.847
8,8,0.0048,0.071,0.6818,0.8415
8,9,0.0244,0.0628,0.7027,0.8361
8,10,0.0046,0.0642,0.7598,0.8689
8,11,0.0063,0.0692,0.721,0.8415
8,12,0.0032,0.0644,0.721,0.8415
8,13,0.0071,0.0615,0.7293,0.847
8,14,0.0142,0.0788,0.7087,0.8251
8,15,0.0047,0.0782,0.7118,0.8306
8,16,0.0028,0.0651,0.751,0.8634
8,17,0.004,0.0723,0.743,0.8525
8,18,0.0037,0.0704,0.7464,0.8579
8,19,0.003,0.0727,0.7069,0.8361
8,20,0.0035,0.0768,0.7446,0.8525
9,1,0.2147,0.1146,0.446,0.8087
9,2,0.0814,0.281,0.5684,0.7213
9,3,0.0766,0.4191,0.5096,0.7869
9,4,0.0774,0.1766,0.5014,0.8251
9,5,0.0474,0.1829,0.6118,0.7432
9,6,0.0134,0.1298,0.6239,0.7923
9,7,0.0113,0.1337,0.5786,0.8087
9,8,0.0051,0.1347,0.5945,0.7869
9,9,0.0018,0.1248,0.6294,0.8197
9,10,0.0028,0.149,0.6443,0.8306
9,11,0.0055,0.1522,0.6141,0.8033
9,12,0.0023,0.1516,0.6067,0.7923
9,13,0.0083,0.1351,0.5665,0.776
9,14,0.0039,0.1359,0.613,0.7978
9,15,0.0112,0.1264,0.5704,0.7978
9,16,0.0014,0.1243,0.5767,0.7923
9,17,0.004,0.1213,0.5843,0.7923
9,18,0.0018,0.1681,0.5942,0.8251
9,19,0.0014,0.1187,0.5959,0.8142
